alay
ampas
buta
keparat
anjing
anjir
babi
bacot
bajingan
banci
bandot
buaya
bangkai
bangsat
bego
bejat
bencong
berak
bisu
celeng
jancuk
bodoh
berengsek
budek
burik
jamban
cocot
congor
culun
cupu
dongok
dungu
edan
tai
ngewe
geblek
gembel
gila
goblok
iblis
idiot
jablay
jembud
jembut
kacrut
kafir
modar
kampang
kampret
kampungan
kimak
kontol
kunti
tuyul
kunyuk
mampus
memek
monyet
najis
nete
ngentot
noob
pecun
perek
sampah
sarap
setan
silit
bokong
sinting
sompret
sontoloyo
terkutuk
titit
pantat
tolol
udik
antek
ateis
sitip
autis
picek
ayam kampus
bani kotak
bispak
bisyar
bokep
cacat
cct
cebong
taplak
cungkring
gay
gembrot
gendut
hina
homo
komunis
koreng
krempeng
lengser
lesbi
lgbt
lonte
mucikari
munafik
ngaceng
nista
kejam
onta
panastak
panasbung
bani
porno
seks
rejim
rezim
sange
serbet
sipit
transgender
kanjut
memex
memeg
calabai
asu
kentu
segawon
kirik
pepek
coli
bigtits
cumshot
motherfucker
pucek
k0nt0l
kintil
